C1:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
G***:2
J1:1
J2:1
J3:1
J4:1
JP1:1
R1:1
R2:1
R3:1
R4:1
R5:1
REF**:4
U1:1
U2:1
U3:1
Y1:1
